                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0757,                 1.2152,                0.55587,                 1.0792,                0.94348,                0.98958,                0.96603,                0.71872,                0.94348,                0.98958,                0.96603,                0.69786,                0.95818,                 1.1131,                 0.4557,                 1.1179,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0793,                  1.201,                0.55066,                 1.0826,                   0.94,                0.98958,                0.97218,                0.72966,                   0.94,                0.98958,                0.97218,                0.71873,                0.96848,                  1.101,                0.46794,                 1.1237,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0618,                 1.2563,                0.52727,                 1.0637,                0.94013,                0.98958,                0.98021,                 0.7101,                0.94013,                0.98958,                0.98021,                0.72426,                0.99772,                 1.1385,                0.50097,                 1.1538,               0.001505,               0.001505,               0.001505
                     27,                 1.0936,                  1.189,                0.54583,                 1.0751,                0.96661,                0.98958,                0.98503,                0.71877,                0.96661,                0.98958,                0.98503,                0.72276,                 1.0927,                 1.1544,                0.47236,                 1.2055,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0462,                 1.1389,                0.52319,                 1.0729,                0.94779,                0.98958,                0.96892,                0.69201,                0.95777,                      1,                0.97733,                 0.7086,                 1.0089,                 1.0546,                0.45636,                 1.1422,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0361,                 1.1185,                0.51742,                 1.0482,                 0.9534,                0.98958,                0.96785,                0.70138,                 0.9534,                0.98958,                0.96785,                0.70596,                0.93023,                 1.1015,                0.44648,                 1.1028,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0577,                 1.1296,                0.52033,                 1.0766,                0.95329,                0.98958,                0.97054,                0.68533,                0.95329,                0.98958,                0.97054,                0.71069,                0.96763,                 1.0852,                0.47371,                 1.1442,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0375,                 1.1742,                0.51547,                 1.0713,                0.95732,                0.98958,                0.97596,                0.71186,                0.95732,                0.98958,                0.97596,                 0.7217,                0.97463,                 1.0463,                0.42903,                 1.1217,               0.001406,               0.001406,               0.001406
                     32,                 1.0406,                 1.1591,                0.50423,                  1.068,                 0.9593,                0.98958,                0.98404,                0.71426,                 0.9593,                0.98958,                0.98404,                 0.7219,                 1.0501,                  1.151,                0.46069,                 1.1813,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0326,                 1.1703,                0.50383,                 1.0463,                0.95245,                0.98958,                0.97977,                0.69852,                0.95245,                0.98958,                0.97977,                0.70361,                 1.0309,                 1.1037,                0.45291,                 1.1826,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0518,                 1.1729,                0.51856,                 1.0697,                 0.9586,                0.98958,                0.98208,                0.72753,                 0.9586,                0.98958,                0.98208,                0.72581,                 1.0241,                 1.0872,                0.43038,                 1.1644,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0487,                 1.1878,                0.50637,                 1.0644,                0.95991,                      1,                0.99018,                0.72374,                0.94996,                0.98958,                0.98085,                0.70989,                0.96465,                 1.0907,                0.43672,                 1.1173,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.039,                 1.1568,                0.49914,                 1.0591,                0.96537,                      1,                 0.9948,                0.73245,                0.95594,                0.98958,                0.98736,                0.73136,                0.99842,                  1.036,                0.44945,                 1.1415,               0.001307,               0.001307,               0.001307
                     37,                 1.0396,                  1.161,                0.49825,                 1.0485,                0.96293,                0.98958,                0.98531,                0.72875,                0.96293,                0.98958,                0.98531,                 0.7195,                0.94955,                 1.0702,                0.46323,                 1.1141,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0097,                 1.1071,                 0.4809,                 1.0565,                0.94692,                0.98958,                0.98737,                0.73825,                0.95689,                      1,                0.99439,                0.72885,                0.97216,                 1.0565,                0.44328,                 1.1366,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0344,                 1.1525,                0.49751,                 1.0552,                0.95703,                      1,                  0.991,                0.72289,                0.94775,                0.98958,                0.98624,                0.73104,                 1.0219,                 1.0853,                0.45869,                 1.1708,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0267,                 1.1144,                0.47104,                 1.0556,                0.95659,                0.98958,                0.98196,                0.70395,                0.95659,                0.98958,                0.98196,                0.72466,                 1.0454,                 1.0728,                0.45685,                 1.1817,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0531,                 1.1896,                0.48383,                 1.0572,                0.95835,                      1,                0.97707,                0.71463,                 0.9615,                0.98958,                0.97138,                0.71628,                0.98689,                 1.0757,                0.40698,                 1.1435,               0.001208,               0.001208,               0.001208
                     42,                 1.0102,                 1.0668,                0.47328,                 1.0248,                0.96956,                 0.9955,                0.98829,                0.74987,                0.96956,                 0.9955,                0.98829,                0.73292,                0.94741,                 1.0453,                0.41329,                 1.0976,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.027,                  1.112,                0.47733,                  1.044,                0.95853,                0.98958,                0.98311,                 0.7371,                0.95853,                0.98958,                0.98311,                0.73944,                0.94246,                 1.0608,                0.43017,                 1.1151,              0.0011684,              0.0011684,              0.0011684
                     44,                0.99387,                  1.103,                0.46988,                 1.0373,                0.96964,                0.99816,                  0.985,                0.72927,                0.96964,                0.99816,                  0.985,                0.72218,                 1.0303,                  1.054,                0.42459,                 1.1497,              0.0011486,              0.0011486,              0.0011486
                     45,                0.99055,                 1.0289,                0.44417,                  1.006,                 0.9692,                      1,                0.98736,                0.76483,                 0.9692,                      1,                0.98736,                0.74615,                0.93664,                 1.0416,                 0.4114,                 1.1128,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0029,                 1.1561,                0.46767,                 1.0477,                0.96672,                      1,                0.99365,                0.74019,                0.96672,                      1,                0.99365,                0.74417,                0.94657,                 1.0437,                 0.4067,                 1.1186,               0.001109,               0.001109,               0.001109
                     47,                0.98101,                 1.0884,                0.46289,                 1.0291,                0.95796,                0.98958,                0.98348,                0.71997,                0.95796,                0.98958,                0.98348,                0.70807,                0.99834,                 1.1527,                0.42437,                 1.1631,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0198,                 1.1475,                0.46426,                 1.0277,                0.96562,                      1,                0.98248,                0.73517,                 0.9564,                0.98958,                0.97606,                0.72431,                 1.0226,                 1.0884,                0.41884,                 1.1789,              0.0010694,              0.0010694,              0.0010694
                     49,                0.98614,                 1.1108,                0.45083,                 1.0288,                0.95621,                0.98958,                 0.9587,                0.67689,                0.95621,                0.98958,                 0.9587,                0.70044,                 1.0257,                 1.0928,                0.43397,                 1.1671,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0033,                 1.1436,                 0.4686,                 1.0272,                0.95758,                0.98958,                 0.9744,                0.73392,                0.95758,                0.98958,                 0.9744,                0.72816,                 0.9423,                 1.0037,                0.40926,                 1.1099,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0007,                 1.1238,                0.44575,                 1.0291,                0.95739,                0.98958,                0.98526,                0.74212,                0.95739,                0.98958,                0.98526,                 0.7419,                0.95286,                 1.0538,                0.42234,                 1.1215,                0.00101,                0.00101,                0.00101
                     52,                0.99238,                 1.1023,                0.45188,                 1.0344,                0.95258,                0.98958,                0.98653,                0.75039,                0.95258,                0.98958,                0.98653,                0.75454,                0.93693,                 1.0533,                0.38576,                 1.1106,              0.0009902,              0.0009902,              0.0009902
                     53,                0.96812,                 1.0885,                0.44871,                 1.0377,                0.95734,                0.98958,                0.98651,                0.76161,                0.95734,                0.98958,                0.98651,                 0.7483,                0.94946,                 1.0334,                0.40589,                 1.1044,              0.0009704,              0.0009704,              0.0009704
                     54,                0.96985,                 1.0542,                0.44542,                 1.0334,                0.95755,                0.98958,                0.98318,                0.73397,                0.95755,                0.98958,                0.98318,                0.74213,                0.95059,                 1.0162,                0.40442,                 1.1202,              0.0009506,              0.0009506,              0.0009506
                     55,                0.97212,                 1.0939,                0.43431,                 1.0268,                0.96672,                      1,                0.99429,                0.74105,                0.96672,                      1,                0.99429,                0.73534,                0.92678,                 1.0216,                0.38956,                  1.096,              0.0009308,              0.0009308,              0.0009308
                     56,                0.97703,                 1.1128,                0.42533,                 1.0299,                0.95888,                0.98958,                0.98798,                0.69284,                0.95888,                0.98958,                0.98798,                0.71478,                 1.0886,                 1.1432,                0.41041,                 1.2013,               0.000911,               0.000911,               0.000911
                     57,                0.98233,                 1.0807,                0.43942,                 1.0257,                0.96423,                      1,                0.99205,                0.73159,                0.95498,                0.98958,                0.98558,                0.71989,                0.97926,                 1.0349,                0.41175,                 1.1196,              0.0008912,              0.0008912,              0.0008912
                     58,                0.98137,                 1.0793,                0.42865,                 1.0148,                 0.9564,                0.98958,                0.99212,                0.76102,                 0.9564,                0.98958,                0.99212,                0.75523,                0.98251,                 1.0643,                0.40718,                 1.1408,              0.0008714,              0.0008714,              0.0008714
                     59,                0.92104,                0.98771,                0.41126,                 1.0112,                0.96896,                      1,                 0.9927,                0.73802,                0.96896,                      1,                 0.9927,                0.73639,                0.91648,                0.98538,                0.42333,                 1.0867,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97908,                 1.0761,                0.43318,                 1.0188,                0.95305,                0.98958,                0.98222,                0.73389,                0.95305,                0.98958,                0.98222,                 0.7331,                0.95328,                  1.028,                0.40534,                 1.1197,              0.0008318,              0.0008318,              0.0008318
                     61,                0.95113,                 1.0932,                0.42297,                 1.0103,                0.96746,                      1,                0.99105,                0.74432,                0.96746,                      1,                0.99105,                0.73491,                 0.9241,                 1.0121,                0.37701,                 1.1002,               0.000812,               0.000812,               0.000812
                     62,                0.92335,                 1.0489,                0.41757,                0.99906,                0.96767,                      1,                0.99255,                0.76938,                0.96767,                      1,                0.99255,                0.75716,                0.95023,                 1.0286,                0.38893,                 1.1146,              0.0007922,              0.0007922,              0.0007922
                     63,                0.94992,                 1.0963,                0.41866,                 1.0071,                0.96752,                      1,                0.99428,                0.76407,                0.96752,                      1,                0.99428,                 0.7511,                0.96262,                 1.0325,                0.38496,                 1.1259,              0.0007724,              0.0007724,              0.0007724
                     64,                0.94904,                 1.0013,                0.40629,                 1.0121,                0.96962,                0.99724,                 0.9885,                0.75035,                0.96962,                0.99724,                 0.9885,                0.74228,                0.94268,                 1.0089,                0.38858,                 1.1067,              0.0007526,              0.0007526,              0.0007526
                     65,                0.92968,                 1.0121,                0.40462,                 1.0042,                0.95646,                0.98958,                0.98877,                0.76599,                0.95646,                0.98958,                0.98877,                0.76723,                0.93316,                 1.0518,                  0.371,                 1.1068,              0.0007328,              0.0007328,              0.0007328
                     66,                0.94926,                 1.0357,                0.41116,                 1.0116,                0.96782,                      1,                0.99439,                0.75054,                0.96782,                      1,                0.99439,                0.74289,                 0.9358,                 1.0471,                0.36821,                 1.1028,               0.000713,               0.000713,               0.000713
                     67,                0.93649,                  1.065,                 0.4122,                 1.0147,                0.95935,                      1,                0.98543,                0.74307,                0.95935,                      1,                0.98543,                0.73834,                 1.0045,                 1.1088,                0.37915,                 1.1565,              0.0006932,              0.0006932,              0.0006932
                     68,                0.96019,                 1.0651,                0.42127,                  1.008,                0.96961,                0.99718,                0.99191,                0.72222,                0.96315,                0.98958,                0.98937,                0.73416,                 1.0324,                 1.1292,                0.41992,                  1.175,              0.0006734,              0.0006734,              0.0006734
                     69,                0.97799,                 1.0971,                0.42345,                 1.0186,                0.95899,                      1,                0.99156,                  0.736,                0.95558,                0.98958,                0.98892,                0.74905,                0.99003,                 1.0498,                0.39892,                 1.1401,              0.0006536,              0.0006536,              0.0006536
                     70,                0.94711,                 1.0534,                0.42151,                 1.0012,                0.96959,                0.99634,                0.99028,                0.74674,                0.96382,                0.98958,                0.98494,                0.73957,                 0.9664,                 1.0252,                0.38317,                 1.1214,              0.0006338,              0.0006338,              0.0006338
                     71,                0.91666,                 1.0553,                0.39009,                 1.0052,                0.96961,                0.99707,                0.99291,                0.75571,                0.96961,                0.99707,                0.99291,                0.75478,                0.93127,                 1.0227,                0.36645,                 1.0967,               0.000614,               0.000614,               0.000614
                     72,                 0.9394,                 1.0871,                0.40337,                 1.0061,                0.95439,                0.98958,                0.98623,                0.76984,                0.95439,                0.98958,                0.98623,                0.76113,                0.93838,                 1.0312,                0.36898,                 1.0993,              0.0005942,              0.0005942,              0.0005942
                     73,                0.92135,                 1.0478,                0.39843,                0.98978,                0.95722,                0.98958,                0.99125,                0.76331,                0.95722,                0.98958,                0.99125,                0.76802,                0.93902,                 1.0273,                0.36925,                  1.105,              0.0005744,              0.0005744,              0.0005744
                     74,                0.95028,                 1.0552,                 0.4047,                 1.0186,                0.96796,                0.98958,                 0.9945,                0.73959,                0.96796,                0.98958,                 0.9945,                0.74324,                0.90914,                0.99531,                 1.0284,                 1.0855,              0.0005546,              0.0005546,              0.0005546
                     75,                0.91146,                 1.0499,                0.39367,                0.99362,                 0.9552,                0.98958,                0.99061,                0.77017,                 0.9552,                0.98958,                0.99061,                0.75992,                0.93017,                 1.0166,                0.36139,                  1.106,              0.0005348,              0.0005348,              0.0005348
                     76,                0.87839,                  1.038,                0.38332,                0.97194,                0.95944,                      1,                0.99459,                0.77484,                0.95944,                      1,                0.99459,                0.76375,                 0.9077,                  1.042,                0.35943,                 1.0867,               0.000515,               0.000515,               0.000515
                     77,                0.91189,                 1.0033,                0.40106,                 1.0037,                0.96801,                      1,                 0.9947,                0.75227,                0.95832,                0.98958,                0.99171,                0.75453,                0.97257,                 1.0962,                0.38447,                  1.132,              0.0004952,              0.0004952,              0.0004952
                     78,                0.92892,                 1.0138,                0.39173,                0.99882,                0.95975,                0.99346,                 0.9946,                0.75866,                0.95975,                0.99346,                 0.9946,                0.74661,                0.95251,                 1.0808,                0.36739,                 1.1148,              0.0004754,              0.0004754,              0.0004754
                     79,                0.87566,                0.97728,                 0.3709,                0.97259,                0.95964,                0.99072,                 0.9946,                0.74612,                0.95964,                0.99072,                 0.9946,                0.74604,                0.93509,                 1.0588,                0.36356,                 1.1029,              0.0004556,              0.0004556,              0.0004556
                     80,                0.88653,                0.99524,                0.38596,                0.98691,                0.96958,                 0.9961,                 0.9947,                0.76631,                0.96958,                 0.9961,                 0.9947,                0.76521,                 0.9276,                  1.014,                0.36008,                 1.1045,              0.0004358,              0.0004358,              0.0004358
